"","age_50.64","age_65.79","age_80.","obese_1BMI25.30","obese_2BMI30.35","obese_3BMI.35","race_1black","race_2asian","race_3hispanic","men","smoker","comorbidity.yes"
"age_50-64",1,0,0,-0.00072645373299757,0.0295066421910845,-0.0336565393468898,0.0774850382515554,0.0014105941464489,0.0803347424424385,-0.0338487045548924,0.135781371012822,-0.00123976278450464
"age_65-79",0,1,0,0.0406854006470648,0.039955275123782,-0.0377768694785864,-0.0121466212351407,0.0260227531997202,0.0315378771512809,0.0729909629442935,-0.218768677188331,0.104212727131908
"age_80+",0,0,1,0.0560767914531079,-0.0592510527637699,-0.125345661022999,-0.0390652941607748,-0.0865032760153712,-0.10276942602232,-0.0427593852874572,-0.188590632529828,-0.0461218722104819
"obese_1BMI25-30",-0.00072645373299757,0.0406854006470648,0.0560767914531079,1,0,0,-0.0999484011377487,0.0742492430867817,0.0226073431992051,0.0760551778300317,-0.0329960404842668,-0.0778655248303125
"obese_2BMI30-35",0.0295066421910845,0.039955275123782,-0.0592510527637699,0,1,0,0.00838103583918565,-0.0419085379313179,0.0615595930734011,0.0697033629215722,-0.00901987928825467,0.0196442371856727
"obese_3BMI>35",-0.0336565393468898,-0.0377768694785864,-0.125345661022999,0,0,1,0.0640559855066227,-0.0914687732662963,0.00204671226697533,-0.177601814722535,-0.0507416407607652,0.0666872820070314
"race_1black",0.0774850382515554,-0.0121466212351407,-0.0390652941607748,-0.0999484011377487,0.00838103583918565,0.0640559855066227,1,0,0,-0.0909344767244695,0.140450165784692,-0.0210624990556812
"race_2asian",0.0014105941464489,0.0260227531997202,-0.0865032760153712,0.0742492430867817,-0.0419085379313179,-0.0914687732662963,0,1,0,0.088591523212085,-0.0059809716469881,0.0704043136146791
"race_3hispanic",0.0803347424424385,0.0315378771512809,-0.10276942602232,0.0226073431992051,0.0615595930734011,0.00204671226697533,0,0,1,0.0431135223708595,-0.106974486361598,-0.0151697732840628
"men",-0.0338487045548924,0.0729909629442935,-0.0427593852874572,0.0760551778300317,0.0697033629215722,-0.177601814722535,-0.0909344767244695,0.088591523212085,0.0431135223708595,1,-0.062925374159766,-0.00197122927803991
"smoker",0.135781371012822,-0.218768677188331,-0.188590632529828,-0.0329960404842668,-0.00901987928825467,-0.0507416407607652,0.140450165784692,-0.0059809716469881,-0.106974486361598,-0.062925374159766,1,0.00221486975027555
"comorbidity.yes",-0.00123976278450464,0.104212727131908,-0.0461218722104819,-0.0778655248303125,0.0196442371856727,0.0666872820070314,-0.0210624990556812,0.0704043136146791,-0.0151697732840628,-0.00197122927803991,0.00221486975027555,1
