Pr Age Obesity Race Sex Smoking Comorbidity
0 0-18 Any BMI No None NA NA
0.048 18-50 BMI<25 White Female No None
0.0575113821823413 50-64 BMI<25 White Female No None
0.0716055718747865 65-79 BMI<25 White Female No None
0.0896946236425061 80+ BMI<25 White Female No None
0.0431685095697526 18-50 BMI25-30 White Female No None
0.0517745806581718 50-64 BMI25-30 White Female No None
0.0645591674275834 65-79 BMI25-30 White Female No None
0.0810235027199988 80+ BMI25-30 White Female No None
0.0452005793070654 18-50 BMI30-35 White Female No None
0.0541888206507588 50-64 BMI30-35 White Female No None
0.0675270967071509 65-79 BMI30-35 White Female No None
0.0846798165062019 80+ BMI30-35 White Female No None
0.0496482312836437 18-50 BMI>35 White Female No None
0.0594658157729586 50-64 BMI>35 White Female No None
0.0740013670790104 65-79 BMI>35 White Female No None
0.0926352567351488 80+ BMI>35 White Female No None
0.0427130997505829 18-50 BMI<25 Black Female No None
0.0512332417160987 50-64 BMI<25 Black Female No None
0.0638931638569362 65-79 BMI<25 Black Female No None
0.0802022126072511 80+ BMI<25 Black Female No None
0.038392306903108 18-50 BMI25-30 Black Female No None
0.0460920627161489 50-64 BMI25-30 Black Female No None
0.0575586520190984 65-79 BMI25-30 Black Female No None
0.0723757980747764 80+ BMI25-30 Black Female No None
0.0402089946669852 18-50 BMI30-35 Black Female No None
0.0482548123168083 50-64 BMI30-35 Black Female No None
0.0602254719418763 65-79 BMI30-35 Black Female No None
0.0756740053038913 80+ BMI30-35 Black Female No None
0.0441882151573915 18-50 BMI>35 Black Female No None
0.0529863172074825 50-64 BMI>35 Black Female No None
0.0660492737204403 65-79 BMI>35 Black Female No None
0.0828599650715199 80+ BMI>35 Black Female No None
0.0522766617335582 18-50 BMI<25 Asian Female No None
0.0625797743668782 50-64 BMI<25 Asian Female No None
0.0778135139934583 65-79 BMI<25 Asian Female No None
0.0973064494179811 80+ BMI<25 Asian Female No None
0.0470359679753897 18-50 BMI25-30 Asian Female No None
0.0563676341810122 50-64 BMI25-30 Asian Female No None
0.0702024062067701 65-79 BMI25-30 Asian Female No None
0.0879705771404073 80+ BMI25-30 Asian Female No None
0.0492407215994667 18-50 BMI30-35 Asian Female No None
0.0589827252060294 50-64 BMI30-35 Asian Female No None
0.0734094086498839 65-79 BMI30-35 Asian Female No None
0.0919090349974168 80+ BMI30-35 Asian Female No None
0.0540634060181906 18-50 BMI>35 Asian Female No None
0.064694626222641 50-64 BMI>35 Asian Female No None
0.0803990284933128 65-79 BMI>35 Asian Female No None
0.100469092947118 80+ BMI>35 Asian Female No None
0.0527963442776589 18-50 BMI<25 Hispanic Female No None
0.0631950505250333 50-64 BMI<25 Hispanic Female No None
0.0785660134178836 65-79 BMI<25 Hispanic Female No None
0.0982273772309672 80+ BMI<25 Hispanic Female No None
0.0475061642423138 18-50 BMI25-30 Hispanic Female No None
0.0569255423325455 50-64 BMI25-30 Hispanic Female No None
0.0708869598252664 65-79 BMI25-30 Hispanic Female No None
0.0888118413744074 80+ BMI25-30 Hispanic Female No None
0.0497318075599954 18-50 BMI30-35 Hispanic Female No None
0.0595648828302055 50-64 BMI30-35 Hispanic Female No None
0.0741227412296035 65-79 BMI30-35 Hispanic Female No None
0.0927841311238892 80+ BMI30-35 Hispanic Female No None
0.0545998272971685 18-50 BMI>35 Hispanic Female No None
0.0653292462576644 50-64 BMI>35 Hispanic Female No None
0.0811743303745024 65-79 BMI>35 Hispanic Female No None
0.101416589840524 80+ BMI>35 Hispanic Female No None
0.0446313501437602 18-50 BMI<25 White Male No None
0.0535127429280197 50-64 BMI<25 White Male No None
0.0666963412524146 65-79 BMI<25 White Male No None
