Pr Age Obesity Race Sex Smoking Comorbidity
0.025 0-18 Any BMI No None NA NA
0.1033 18-50 BMI<25 White Female No None
0.118682096570352 50-64 BMI<25 White Female No None
0.132288444842213 65-79 BMI<25 White Female No None
0.138259747560527 80+ BMI<25 White Female No None
0.0972267858529266 18-50 BMI25-30 White Female No None
0.111817308663431 50-64 BMI25-30 White Female No None
0.124748040910276 65-79 BMI25-30 White Female No None
0.130430142693462 80+ BMI25-30 White Female No None
0.0986580235091496 18-50 BMI30-35 White Female No None
0.113436339754654 50-64 BMI30-35 White Female No None
0.126527627543552 65-79 BMI30-35 White Female No None
0.132278536639492 80+ BMI30-35 White Female No None
0.10914553722071 18-50 BMI>35 White Female No None
0.125276467447343 50-64 BMI>35 White Female No None
0.139519146967345 65-79 BMI>35 White Female No None
0.145762005507007 80+ BMI>35 White Female No None
0.107058214112426 18-50 BMI<25 Black Female No None
0.122923219632823 50-64 BMI<25 Black Female No None
0.136940242640376 65-79 BMI<25 Black Female No None
0.143086895344427 80+ BMI<25 Black Female No None
0.100788882083489 18-50 BMI25-30 Black Female No None
0.115845362949462 50-64 BMI25-30 Black Female No None
0.129174159973639 65-79 BMI25-30 Black Female No None
0.1350267636239 80+ BMI25-30 Black Female No None
0.10226661596791 18-50 BMI30-35 Black Female No None
0.117515000542238 50-64 BMI30-35 Black Female No None
0.131007436315782 65-79 BMI30-35 Black Female No None
0.136930041006668 80+ BMI30-35 Black Female No None
0.11308959965733 18-50 BMI>35 Black Female No None
0.129718556623823 50-64 BMI>35 Black Female No None
0.144382897819817 65-79 BMI>35 Black Female No None
0.150805246116044 80+ BMI>35 Black Female No None
0.109093943288278 18-50 BMI<25 Asian Female No None
0.125218320099063 50-64 BMI<25 Asian Female No None
0.139455442790153 65-79 BMI<25 Asian Female No None
0.145695933493033 80+ BMI<25 Asian Female No None
0.102719112435605 18-50 BMI25-30 Asian Female No None
0.118026095896327 50-64 BMI25-30 Asian Female No None
0.131568464171103 65-79 BMI25-30 Asian Female No None
0.137512418361844 80+ BMI25-30 Asian Female No None
0.104221866609671 18-50 BMI30-35 Asian Female No None
0.119722907673689 50-64 BMI30-35 Asian Female No None
0.13343051454296 65-79 BMI30-35 Asian Female No None
0.139445084055905 80+ BMI30-35 Asian Female No None
0.115225217289615 18-50 BMI>35 Asian Female No None
0.132121420520719 50-64 BMI>35 Asian Female No None
0.147011513041642 65-79 BMI>35 Asian Female No None
0.153529805107439 80+ BMI>35 Asian Female No None
0.106969430711047 18-50 BMI<25 Hispanic Female No None
0.122823089088313 50-64 BMI<25 Hispanic Female No None
0.13683047542399 65-79 BMI<25 Hispanic Female No None
0.142973017348559 80+ BMI<25 Hispanic Female No None
0.100704711486853 18-50 BMI25-30 Hispanic Female No None
0.115750236986535 50-64 BMI25-30 Hispanic Female No None
0.129069686866329 65-79 BMI25-30 Hispanic Female No None
0.134918290425044 80+ BMI25-30 Hispanic Female No None
0.102181351523512 18-50 BMI30-35 Hispanic Female No None
0.117418685638529 50-64 BMI30-35 Hispanic Female No None
0.130901703376322 65-79 BMI30-35 Hispanic Female No None
0.136820280671262 80+ BMI30-35 Hispanic Female No None
0.112996447378167 18-50 BMI>35 Hispanic Female No None
0.129613708754536 50-64 BMI>35 Hispanic Female No None
0.14426816203152 65-79 BMI>35 Hispanic Female No None
0.150686305540447 80+ BMI>35 Hispanic Female No None
0.112928733881924 18-50 BMI<25 White Male No None
0.129537491562428 50-64 BMI<25 White Male No None
0.144184755040416 65-79 BMI<25 White Male No None
0.15059984099552 80+ BMI<25 White Male No None
0.106356570760041 18-50 BMI25-30 White Male No None
0.122131820831805 50-64 BMI25-30 White Male No None
0.136072600784119 65-79 BMI25-30 White Male No None
0.142186724841926 80+ BMI25-30 White Male No None
0.107906140418632 18-50 BMI30-35 White Male No None
0.123879368245246 50-64 BMI30-35 White Male No None
0.137988268102756 65-79 BMI30-35 White Male No None
0.144174103868363 80+ BMI30-35 White Male No None
0.11924668258375 18-50 BMI>35 White Male No None
0.136641508632684 50-64 BMI>35 White Male No None
0.151951824992296 65-79 BMI>35 White Male No None
0.158648423033363 80+ BMI>35 White Male No None
0.116991551888678 18-50 BMI<25 Black Male No None
0.134107505337246 50-64 BMI<25 Black Male No None
0.149182954428399 65-79 BMI<25 Black Male No None
0.155779942032684 80+ BMI<25 Black Male No None
0.110212319853988 18-50 BMI25-30 Black Male No None
0.126478528840037 50-64 BMI25-30 Black Male No None
0.140835867222933 65-79 BMI25-30 Black Male No None
0.147127569248566 80+ BMI25-30 Black Male No None
0.111811037409237 18-50 BMI30-35 Black Male No None
0.12827918358721 50-64 BMI30-35 Black Male No None
0.142807508304857 65-79 BMI30-35 Black Male No None
0.149171998388357 80+ BMI30-35 Black Male No None
0.123505153873161 18-50 BMI>35 Black Male No None
0.141421429905422 50-64 BMI>35 Black Male No None
0.157169824663484 65-79 BMI>35 Black Male No None
