Pr Age Obesity Race Sex Smoking Comorbidity
0 0-18 Any BMI No None NA NA
0.202 18-50 BMI<25 White Female No None
0.223587697702485 50-64 BMI<25 White Female No None
0.226358196073728 65-79 BMI<25 White Female No None
0.217642660894348 80+ BMI<25 White Female No None
0.211426382644958 18-50 BMI25-30 White Female No None
0.233726419555419 50-64 BMI25-30 White Female No None
0.236584266583533 65-79 BMI25-30 White Female No None
0.22759082415164 80+ BMI25-30 White Female No None
0.215586641273389 18-50 BMI30-35 White Female No None
0.238192936345018 50-64 BMI30-35 White Female No None
0.24108821415574 65-79 BMI30-35 White Female No None
0.231975585329893 80+ BMI30-35 White Female No None
0.230562424246852 18-50 BMI>35 White Female No None
0.254230116911282 50-64 BMI>35 White Female No None
0.257254502023213 65-79 BMI>35 White Female No None
0.247730286017047 80+ BMI>35 White Female No None
0.210431462512867 18-50 BMI<25 Black Female No None
0.232657521586712 50-64 BMI<25 Black Female No None
0.235506315715272 65-79 BMI<25 Black Female No None
0.226541690389573 80+ BMI<25 Black Female No None
0.220142759477378 18-50 BMI25-30 Black Female No None
0.24307875787957 50-64 BMI25-30 Black Female No None
0.246014245244553 65-79 BMI25-30 Black Female No None
0.236773513483773 80+ BMI25-30 Black Female No None
0.224425719042952 18-50 BMI30-35 Black Female No None
0.24766623311191 50-64 BMI30-35 Black Female No None
0.250638775674472 65-79 BMI30-35 Black Female No None
0.241279925157598 80+ BMI30-35 Black Female No None
0.239827782843066 18-50 BMI>35 Black Female No None
0.264120102213174 50-64 BMI>35 Black Female No None
0.267219984052857 65-79 BMI>35 Black Female No None
0.257454707251494 80+ BMI>35 Black Female No None
0.216814616288972 18-50 BMI<25 Asian Female No None
0.239510359496311 50-64 BMI<25 Asian Female No None
0.242416555120462 65-79 BMI<25 Asian Female No None
0.233269150540727 80+ BMI<25 Asian Female No None
0.226735899720873 18-50 BMI25-30 Asian Female No None
0.250138488519747 50-64 BMI25-30 Asian Female No None
0.253130719974972 65-79 BMI25-30 Asian Female No None
0.243709081954531 80+ BMI25-30 Asian Female No None
0.231109118141609 18-50 BMI30-35 Asian Female No None
0.254814345044658 50-64 BMI30-35 Asian Female No None
0.257843277337362 65-79 BMI30-35 Asian Female No None
0.248304550568248 80+ BMI30-35 Asian Female No None
0.246823884184336 18-50 BMI>35 Asian Female No None
0.271571681682481 50-64 BMI>35 Asian Female No None
0.274726369838961 65-79 BMI>35 Asian Female No None
0.264785901437282 80+ BMI>35 Asian Female No None
0.194710694007117 18-50 BMI<25 Hispanic Female No None
0.215729980442432 50-64 BMI<25 Hispanic Female No None
0.218430505246231 65-79 BMI<25 Hispanic Female No None
0.209937380960042 80+ BMI<25 Hispanic Female No None
0.20388382728973 18-50 BMI25-30 Hispanic Female No None
0.225615929479824 50-64 BMI25-30 Hispanic Female No None
0.228404166566869 65-79 BMI25-30 Hispanic Female No None
0.21963221899074 80+ BMI25-30 Hispanic Female No None
0.207934805216202 18-50 BMI30-35 Hispanic Female No None
0.229973970711989 50-64 BMI30-35 Hispanic Female No None
0.232799874782954 65-79 BMI30-35 Hispanic Female No None
0.223908097635908 80+ BMI30-35 Hispanic Female No None
0.222529842795943 18-50 BMI>35 Hispanic Female No None
0.245636208676214 50-64 BMI>35 Hispanic Female No None
0.248592437271826 65-79 BMI>35 Hispanic Female No None
0.239285597737677 80+ BMI>35 Hispanic Female No None
0.223894699532118 18-50 BMI<25 White Male No None
0.247097743411073 50-64 BMI<25 White Male No None
0.250065730758734 65-79 BMI<25 White Male No None
0.240721404101866 80+ BMI<25 White Male No None
0.234043146143977 18-50 BMI25-30 White Male No None
0.257948358602388 50-64 BMI25-30 White Male No None
0.261001496316788 65-79 BMI25-30 White Male No None
0.251385508553708 80+ BMI25-30 White Male No None
0.238513831609172 18-50 BMI30-35 White Male No None
0.262719056838692 50-64 BMI30-35 White Male No None
0.265808434723884 65-79 BMI30-35 White Male No None
0.256076715161934 80+ BMI30-35 White Male No None
0.254565397920952 18-50 BMI>35 White Male No None
0.279801042943532 50-64 BMI>35 White Male No None
0.283014185237092 65-79 BMI>35 White Male No None
0.272886668105712 80+ BMI>35 White Male No None
0.232973240081392 18-50 BMI<25 Black Male No None
0.256805811063852 50-64 BMI<25 Black Male No None
0.259850160934761 65-79 BMI<25 Black Male No None
0.250262226459889 80+ BMI<25 Black Male No None
0.243404132282128 18-50 BMI25-30 Black Male No None
0.267931023235157 50-64 BMI25-30 Black Male No None
0.271059157269541 65-79 BMI25-30 Black Male No None
0.261203592100964 80+ BMI25-30 Black Male No None
0.247995736217359 18-50 BMI30-35 Black Male No None
0.272818469682788 50-64 BMI30-35 Black Male No None
0.275982153740062 65-79 BMI30-35 Black Male No None
0.266012912757128 80+ BMI30-35 Black Male No None
0.264463800935824 18-50 BMI>35 Black Male No None
0.290298563240983 50-64 BMI>35 Black Male No None
0.293583114352448 65-79 BMI>35 Black Male No None
0.283226793161829 80+ BMI>35 Black Male No None
0.239832470845907 18-50 BMI<25 Asian Male No None
0.264125100077996 50-64 BMI<25 Asian Male No None
0.267225019274885 65-79 BMI<25 Asian Male No None
0.257459623116746 80+ BMI<25 Asian Male No None
0.250470185749234 18-50 BMI25-30 Asian Male No None
0.275449874578271 50-64 BMI25-30 Asian Male No None
0.278632381001521 65-79 BMI25-30 Asian Male No None
0.268602922591073 80+ BMI25-30 Asian Male No None
0.255150132933693 18-50 BMI30-35 Asian Male No None
0.280421938035216 50-64 BMI30-35 Asian Male No None
0.283639402379564 65-79 BMI30-35 Asian Male No None
0.273498046502045 80+ BMI30-35 Asian Male No None
0.271921494003509 18-50 BMI>35 Asian Male No None
0.298189432530309 50-64 BMI>35 Asian Male No None
0.301525332155755 65-79 BMI>35 Asian Male No None
0.291004257387673 80+ BMI>35 Asian Male No None
0.216029195058521 18-50 BMI<25 Hispanic Male No None
0.238667776472887 50-64 BMI<25 Hispanic Male No None
0.241566995838503 65-79 BMI<25 Hispanic Male No None
0.232441812856197 80+ BMI<25 Hispanic Male No None
0.225924905847995 18-50 BMI25-30 Hispanic Male No None
0.249270771659415 50-64 BMI25-30 Hispanic Male No None
0.252256115057874 65-79 BMI25-30 Hispanic Male No None
0.242856445035136 80+ BMI25-30 Hispanic Male No None
0.23028714048415 18-50 BMI30-35 Hispanic Male No None
0.253935900791966 50-64 BMI30-35 Hispanic Male No None
0.256957991797907 65-79 BMI30-35 Hispanic Male No None
0.24744109624694 80+ BMI30-35 Hispanic Male No None
0.245963893959965 18-50 BMI>35 Hispanic Male No None
0.270656450479413 50-64 BMI>35 Hispanic Male No None
0.27380450322024 65-79 BMI>35 Hispanic Male No None
0.263885254524047 80+ BMI>35 Hispanic Male No None
