,variable,estimate,summary_est,age_frac
1,age75.79.male,97127,10081570,0.009634115
2,age75.79.female,129381,10081570,0.012833418
3,age35.44,1379814,10081570,0.136864992
4,age55.59,629508,10081570,0.062441465
5,age65.74,758833,10081570,0.075269328
6,age45.49,688058,10081570,0.068249092
7,age50.54,667567,10081570,0.066216571
8,age60.64,306899,10081570,0.030441588
9,age19.34,2450625,10081570,0.243079699
10,age_0.18,2211090,10081570,0.219320007
,,,,
,age_0.18,0.219320007,,
,age_19.49,0.448193783,,
,age_50.64,0.159099624,,
,age_65.79,0.09773686,,
,age_80.,0.075649725,,
