"","CFR mean (95% CI)","IFR mean (95% CI)"
"2020-03-01","0.0073 (0,0.0138)","0.001 (0,0.0019)"
"2020-03-15","0.0072 (0.0055,0.0083)","0.001 (0.0007,0.0011)"
"2020-03-29","0.0131 (0.0124,0.0142)","0.0018 (0.0017,0.0019)"
"2020-04-12","0.0262 (0.0242,0.0276)","0.0035 (0.0032,0.0037)"
"2020-04-26","0.0355 (0.0335,0.0368)","0.0048 (0.0045,0.0049)"
"2020-05-10","0.0401 (0.0385,0.0413)","0.0054 (0.0052,0.0056)"
"2020-05-24","0.0397 (0.0387,0.0402)","0.0054 (0.0052,0.0054)"
"2020-06-07","0.036 (0.0353,0.0366)","0.0049 (0.0048,0.005)"
"2020-06-21","0.032 (0.0312,0.0328)","0.0043 (0.0042,0.0044)"
"2020-07-05","0.0286 (0.0278,0.0301)","0.0039 (0.0037,0.0041)"
"2020-07-19","0.0267 (0.0255,0.0282)","0.0036 (0.0034,0.0038)"
"2020-08-02","0.0261 (0.0249,0.0279)","0.0035 (0.0034,0.0038)"
"2020-08-16","0.0265 (0.0253,0.0283)","0.0036 (0.0034,0.0038)"
"2020-08-30","0.0274 (0.0259,0.0291)","0.0037 (0.0035,0.0039)"
"2020-09-13","0.028 (0.0267,0.0296)","0.0038 (0.0036,0.004)"
"2020-09-27","0.0284 (0.0271,0.0299)","0.0038 (0.0037,0.004)"
"2020-10-11","0.0287 (0.0274,0.0301)","0.0039 (0.0037,0.0041)"
"2020-10-25","0.0287 (0.0274,0.0301)","0.0039 (0.0037,0.0041)"
