"","CFR mean (95% CI)","IFR mean (95% CI)"
"2020-03-01","0.0114 (0.0024,0.0236)","0.0021 (0.0003,0.0046)"
"2020-03-15","0.0116 (0.0077,0.016)","0.0021 (0.001,0.0035)"
"2020-04-01","0.0217 (0.0187,0.0246)","0.004 (0.0022,0.0061)"
"2020-04-15","0.0389 (0.0354,0.0427)","0.0071 (0.0039,0.011)"
"2020-05-01","0.0516 (0.0475,0.0565)","0.0094 (0.0053,0.0146)"
"2020-05-15","0.0544 (0.0503,0.0594)","0.01 (0.0055,0.0154)"
"2020-06-01","0.0464 (0.0419,0.0511)","0.0085 (0.0044,0.0132)"
"2020-06-15","0.0393 (0.0339,0.0445)","0.0072 (0.0036,0.0114)"
"2020-07-01","0.0334 (0.0273,0.04)","0.0061 (0.003,0.01)"
"2020-07-15","0.031 (0.0249,0.0379)","0.0057 (0.0028,0.0094)"
"2020-08-01","0.0294 (0.0237,0.0365)","0.0054 (0.0027,0.0089)"
"2020-08-15","0.0283 (0.0229,0.0353)","0.0052 (0.0026,0.0085)"
"2020-09-01","0.0278 (0.0229,0.0342)","0.0051 (0.0026,0.0082)"
"2020-09-15","0.0276 (0.0228,0.0335)","0.005 (0.0026,0.008)"
"2020-10-01","0.0274 (0.0228,0.033)","0.005 (0.0026,0.0078)"
"2020-10-15","0.0276 (0.0231,0.0328)","0.005 (0.0027,0.0078)"
"2020-11-01","0.026 (0.0216,0.031)","0.0048 (0.0026,0.0074)"
"2020-11-15","0.0234 (0.0185,0.0287)","0.0043 (0.0023,0.0067)"
"2020-12-01","0.0197 (0.014,0.0258)","0.0036 (0.002,0.0057)"
"2020-12-15","0.0168 (0.0112,0.0239)","0.003 (0.0016,0.0048)"
"2021-01-01","0.0148 (0.0098,0.0218)","0.0026 (0.0015,0.004)"
"2021-01-15","0.0142 (0.0097,0.0204)","0.0025 (0.0015,0.0037)"
"2021-02-01","0.0153 (0.0118,0.0202)","0.0027 (0.0016,0.0039)"
"2021-02-15","0.0164 (0.0135,0.0206)","0.003 (0.0018,0.0042)"
"2021-03-01","0.0171 (0.0144,0.021)","0.0031 (0.0018,0.0044)"
