"","CFR mean (95% CI)","IFR mean (95% CI)"
"2020-03-01","0.0127 (0.0031,0.0251)","0.0023 (0.0004,0.0052)"
"2020-03-15","0.0127 (0.0087,0.0174)","0.0023 (0.001,0.0042)"
"2020-04-01","0.0244 (0.0214,0.0277)","0.0044 (0.0022,0.0074)"
"2020-04-15","0.0445 (0.0402,0.0486)","0.0081 (0.0041,0.0134)"
"2020-05-01","0.0593 (0.0539,0.0646)","0.0108 (0.0055,0.0179)"
"2020-05-15","0.0618 (0.0563,0.0674)","0.0112 (0.0056,0.0188)"
"2020-06-01","0.0515 (0.0455,0.0572)","0.0094 (0.0045,0.016)"
"2020-06-15","0.0427 (0.036,0.0486)","0.0078 (0.0036,0.0136)"
"2020-07-01","0.0352 (0.0283,0.0419)","0.0065 (0.0029,0.0113)"
"2020-07-15","0.0316 (0.0249,0.0387)","0.0058 (0.0026,0.0101)"
"2020-08-01","0.0292 (0.0231,0.0364)","0.0053 (0.0025,0.0093)"
"2020-08-15","0.0279 (0.0222,0.0348)","0.0051 (0.0024,0.0089)"
"2020-09-01","0.0273 (0.0219,0.0337)","0.005 (0.0023,0.0086)"
"2020-09-15","0.0271 (0.022,0.0333)","0.0049 (0.0023,0.0085)"
"2020-10-01","0.027 (0.022,0.0329)","0.0049 (0.0023,0.0084)"
"2020-10-15","0.027 (0.0222,0.0328)","0.0049 (0.0024,0.0084)"
"2020-11-01","0.0257 (0.0207,0.0316)","0.0047 (0.0023,0.008)"
"2020-11-15","0.0235 (0.0179,0.0298)","0.0043 (0.0021,0.0073)"
"2020-12-01","0.0201 (0.0137,0.0274)","0.0036 (0.0017,0.0062)"
"2020-12-15","0.0172 (0.0107,0.0253)","0.0031 (0.0015,0.0053)"
"2021-01-01","0.0148 (0.0091,0.023)","0.0026 (0.0013,0.0046)"
"2021-01-15","0.0139 (0.009,0.0213)","0.0025 (0.0013,0.0041)"
"2021-02-01","0.0148 (0.0107,0.021)","0.0026 (0.0015,0.0042)"
"2021-02-15","0.0158 (0.0122,0.0213)","0.0028 (0.0016,0.0044)"
"2021-03-01","0.0163 (0.013,0.0215)","0.0029 (0.0016,0.0046)"
